"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"10-02032017-086586";"";
"REFERENCE";"32006 X";"";
"TraceParts.PartVersion";"1.2.8";"";
"TraceParts.InstanceId";"10-02032017-0865862U7CT10944YDTQL8FFXFFQ6S1";"";
"TraceParts.PartTitle";"Tapered roller bearings, single row";"";
"SUPPLIER";"SKF";"";
"DESIGN";"Tapered roller bearings, single row, Bore Ø 30 mm, Outside Ø 55 mm";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartLanguage";"en";"";
"MASS";"0.173";"";
